API,API,
Accepted,Aceite,
Action,Ação,
Actions,Acções,
Active,Ativo,
Actual Cost,Custo real,
Actual End Date,Data de Término Efetiva,
Actual Start Date,Data de Início Efetiva,
All,Todos,
Amended From,Alterado De,
Amount,Montante,
Approved,Aprovado,
Archive,Arquivo,
Archived,Arquivada,
Assigned To,Atribuído A,
Attachments,Anexos,
Available,Disponível,
Both,Ambos,
Brand,Marca,
Buying Price List,Lista de preços de compra,
CRM,CRM,
Canceled,Cancelado,
Cancelled,Cancelado,
Category,Categoria,
Category Name,Nome da Categoria,
Check,Verifica,
Client,Cliente,
Close,Fechar,
Closed,Fechado,
Color,Cor,
Comment,Comente,
Comments,Comentários,
Company,Empresa,
Complete,Concluído,
Completed,Concluído,
Component,Componente,
Condition,Condição,
Contact,Contacto,
Contact Email,Email de Contacto,
Contact Phone,telefone de contato,
Conversion Rate,Taxa de Conversão,
Create,Criar,
Created On,Criado Em,
Currency,Moeda,
Current Status,Status atual,
Custom,Personalizado,
Customer,Cliente,
Customer ID,Identificação do Cliente,
Customer Name,nome do cliente,
Customer Type,Tipo de Cliente,
Data,Dados,
Date,Data,
Default,Padrão,
Default Item Group,Grupo de Item Padrão,
Default Priority,Prioridade Padrão,
Default Value,Valor Padrão,
Defaults,Padrões,
Delayed,Atrasado,
Delivered,Entregue,
Depends On,Depende De,
Description,Descrição,
Desk,Secretária,
Discount (%),Desconto (%),
Discount Amount,Montante do Desconto,
Discount Type,Tipo de desconto,
Display,Visualização,
Document Name,Nome do Documento,
Document Type,tipo de documento,
Draft,"Esboço, projeto",
Due Date,Data de Vencimento,
Duration,Duração,
Email,O email,
Email Address,Endereço de e-mail,
Error,Erro,
Estimated Cost,Custo estimado,
Expected End Date,Data de Término Prevista,
Expected Start Date,Data de Início Prevista,
Expired,Expirado,
Failed,Falhou,
Field Type,Tipo de campo,
First Name,Nome,
Float,Vírgula Flutuante,
From Date,Data De,
Full Name,Nome Completo,
Grand Total,Total geral,
High,Alto,
Hold,Manter,
Hours,Horas,
Idx,Idx,
Images,imagens,
In Progress,Em progresso,
In Transit,Em trânsito,
Inactive,Inativo,
Inspected By,Inspecionado Por,
Inspection Type,Tipo de Inspeção,
Int,Int,
Inventory,Inventário,
Is Active,É Ativa,
Is Group,É grupo,
Issue,Incidente,
Issued,Emitido,
Item,Item,
Item Code,Código do item,
Item Name,Nome do item,
Items,Itens,
Key,Tecla,
Keyboard Shortcuts,Atalhos do teclado,
Lab Technician,Técnico de laboratório,
Last Active,Última Atividade,
Last Name,Sobrenome,
Location,Localização,
Logs,Registos,
Lost,Perdido,
Low,Baixo,
Maintenance,Manutenção,
Manufacturer,Fabricante,
Medium,Médio,
Method,Método,
Model,Modelo,
Modified By,Modificado por,
Name,Nome,
Naming Series,Série de Atrib. de Nomes,
New,Novo,
Not permitted,Não é permitido,
Notes,Notas,
OK,Está bem,
On Hold,Em espera,
Open,Abrir,
Operation,Operação,
Other,Outro,
Overdue,Vencido,
Owner,Dono,
Parameter,Parâmetro,
Parent Task,Tarefa dos pais,
Passed,Passado,
Pending,Pendente,
Pending Review,Revisão pendente,
Percent Complete,Percentagem completa,
Percentage,Percentagem,
Phone,Telefone,
Phone Number,Número de telefone,
Planning,Planeamento,
Portal,Portal,
Preview,Pré-visualização,
Primary,Principal,
Priority,Prioridade,
Progress,Progresso,
Purchase,Compra,
Purchase Date,data de compra,
Purchase Order,Ordem de compra,
Purchase Receipt,Recibo de compra,
Qty,Qtd,
Quantity,Quantidade,
Rate,Valor,
Rating,Avaliação,
Reason,Motivo,
Received,Recebido,
Reference,Referência,
Reference DocType,Reference DocType,
Reference Doctype,DocType de Referência,
Reference Name,nome de referencia,
Rejected,Rejeitado,
Related,Relacionado,
Reload,recarregar,
Remarks,Observações,
Reopen,Reabrir,
Reset,Redefinir,
Resolve,Resolver,
Resolved,Resolvido,
Restore,Restaurar,
Rounded Total,Total Arredondado,
SMS,SMS,
Sales,Vendas,
Sales Manager,Gestor De Vendas,
Sales User,Utilizador de Vendas,
Scheduled,Programado,
Scheduled Date,Data Prevista,
Section,Seção,
Selling Price List,Lista de preços de venda,
Serial No,Nr. de Série,
Session Defaults,Padrões de Sessão,
Settings,Configurações,
Setup,Configurações,
Shipping,Envio,
Signature,Assinatura,
Signed,Assinado,
Signed On,Inscrito em,
Small Text,Texto Pequeno,
Sold,Vendido,
Source Warehouse,Armazém Fonte,
Standard,Padrão,
Start,begin,
Status,Status,
Stock Entry,Registo de Stock,
Stock UOM,UNID de Stock,
Stop,pare,
Student,Estudante,
Subject,Assunto,
Submit,Submeter,
Submitted,Enviado,
Subtotal,Subtotal,
Suspended,Suspenso,
System Manager,System Manager,
Target,Alvo,
Task,Tarefa,
Task Description,Descrição da tarefa,
Task Name,Nome da tarefa,
Task Type,Tipo de Tarefa,
Tasks,Tarefas,
Template Name,Nome do modelo,
Terms,Termos,
Text,Caixa de Texto,
Timeline,Timeline,
Timestamp,Timestamp,
Title,Título,
To Date,Até à Data,
Tools,Ferramentas,
Total Cost,Custo Total,
Totals,Totais,
Type,Tipo,
UOM,UNID,
Unit,Unidade,
Unknown,Desconhecido,
Unverified,Não verificado,
Urgent,Urgente,
Valid From,Válido de,
Valid Till,Válida até,
Valid Upto,Válido até,
Validation Error,erro de validação,
Value,Valor,
Verification,Verificação,
Verified By,Verificado Por,
Version,versão,
View,Visão,
View Website,Veja site,
Warehouse,Armazém,
Warranty,garantia,
Workflow State,Status do Fluxo de Trabalho,
Working,A Trabalhar,
