API,API,
Accepted,Accepted,
Action,ಕ್ರಿಯೆ,
Actions,ಕ್ರಿಯೆಗಳು,
Active,ಕ್ರಿಯಾಶೀಲ,
Actual Cost,ವಾಸ್ತವಿಕ ವೆಚ್ಚ,
Actual End Date,ನಿಜವಾದ ಅಂತಿಮ ದಿನಾಂಕ,
Actual Start Date,ನಿಜವಾದ ಆರಂಭ ದಿನಾಂಕ,
All,ಎಲ್ಲಾ,
Amended From,ಗೆ ತಿದ್ದುಪಡಿ,
Amount,ಪ್ರಮಾಣ,
Approved,Approved,
Archive,ಆರ್ಕೈವ್,
Archived,ಆರ್ಕೈವ್,
Assigned To,ನಿಯೋಜಿಸಲಾಗಿದೆ,
Attachments,ಲಗತ್ತುಗಳು,
Available,ಲಭ್ಯ,
Both,ಎರಡೂ,
Brand,ಬೆಂಕಿ,
Buying Price List,ಬೆಲೆ ಪಟ್ಟಿ ಖರೀದಿ,
CRM,ಸಿಆರ್ಎಂ,
Canceled,ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ,
Cancelled,ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ,
Category,ವರ್ಗ,
Category Name,ವರ್ಗ ಹೆಸರು,
Check,ಪರಿಶೀಲಿಸಿ,
Client,ಕಕ್ಷಿಗಾರ,
Close,ಮುಚ್ಚಿ,
Closed,ಮುಚ್ಚಲಾಗಿದೆ,
Color,ಬಣ್ಣ,
Comment,ಕಾಮೆಂಟ್ ಮಾಡಿ,
Comments,ಪ್ರತಿಕ್ರಿಯೆಗಳು,
Company,ಕಂಪನಿ,
Complete,ಕಂಪ್ಲೀಟ್,
Completed,ಪೂರ್ಣಗೊಂಡಿದೆ,
Component,ಕಾಂಪೊನೆಂಟ್,
Condition,ಪರಿಸ್ಥಿತಿ,
Contact,ಸಂಪರ್ಕಿಸಿ,
Contact Email,ಇಮೇಲ್ ಮೂಲಕ ಸಂಪರ್ಕಿಸಿ,
Contact Phone,ಫೋನ್ ಸಂಪರ್ಕಿಸಿ,
Conversion Rate,ಪರಿವರ್ತನೆ ದರ,
Create,ರಚಿಸಿ,
Created On,ದಾಖಲಿಸಿದವರು,
Currency,ಕರೆನ್ಸಿ,
Current Status,ಪ್ರಸ್ತುತ ಸ್ಥಿತಿಯನ್ನು,
Custom,ಪದ್ಧತಿ,
Customer,ಗಿರಾಕಿ,
Customer ID,ಗ್ರಾಹಕ ಐಡಿ,
Customer Name,ಗ್ರಾಹಕ ಹೆಸರು,
Customer Type,ಗ್ರಾಹಕ ಪ್ರಕಾರ,
Data,ಡೇಟಾ,
Date,ದಿನಾಂಕ,
Default,ಡೀಫಾಲ್ಟ್,
Default Item Group,ಡೀಫಾಲ್ಟ್ ಐಟಂ ಗುಂಪು,
Default Priority,ಡೀಫಾಲ್ಟ್ ಆದ್ಯತೆ,
Default Value,ಡೀಫಾಲ್ಟ್ ಮೌಲ್ಯ,
Defaults,ಡಿಫಾಲ್ಟ್,
Delayed,ತಡವಾಗಿದೆ,
Delivered,ತಲುಪಿಸಲಾಗಿದೆ,
Depends On,ಅವಲಂಬಿಸಿರುತ್ತದೆ,
Description,ವಿವರಣೆ,
Desk,ಡೆಸ್ಕ್,
Discount (%),ರಿಯಾಯಿತಿ (%),
Discount Amount,ರಿಯಾಯಿತಿ ಪ್ರಮಾಣ,
Discount Type,ರಿಯಾಯಿತಿ ಪ್ರಕಾರ,
Display,ಪ್ರದರ್ಶಿಸು,
Document Name,ಡಾಕ್ಯುಮೆಂಟ್ ಹೆಸರು,
Document Type,ಡಾಕ್ಯುಮೆಂಟ್ ಪ್ರಕಾರ,
Draft,ಡ್ರಾಫ್ಟ್,
Due Date,ಕಾರಣ ದಿನಾಂಕ,
Duration,ಅವಧಿ,
Email,ಇಮೇಲ್,
Email Address,ಇಮೇಲ್ ವಿಳಾಸ,
Error,ದೋಷ,
Estimated Cost,ಅಂದಾಜು ವೆಚ್ಚ,
Expected End Date,ನಿರೀಕ್ಷಿತ ಅಂತಿಮ ದಿನಾಂಕ,
Expected Start Date,ನಿರೀಕ್ಷಿತ ಪ್ರಾರಂಭ ದಿನಾಂಕ,
Expired,ಅವಧಿ,
Failed,ವಿಫಲವಾಗಿದೆ,
Field Type,ಕ್ಷೇತ್ರ ಪ್ರಕಾರ,
First Name,ಮೊದಲ ಹೆಸರು,
Float,ತೇಲುವುದು,
From Date,Fromdate,
Full Name,ಪೂರ್ಣ ಹೆಸರು,
Grand Total,ಗ್ರ್ಯಾಂಡ್ ಒಟ್ಟು,
High,ಎತ್ತರದ,
Hold,ಹಿಡಿ,
Hours,ಗಂಟೆಗಳು,
Idx,IDX,
Images,ಚಿತ್ರಗಳು,
In Progress,ಪ್ರಗತಿಯಲ್ಲಿದೆ,
In Transit,ಸಾಗಣೆಯಲ್ಲಿ,
Inactive,ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ,
Inspected By,ಪರಿಶೀಲನೆ,
Inspection Type,ಇನ್ಸ್ಪೆಕ್ಷನ್ ಪ್ರಕಾರ,
Int,ಇಂಟ್,
Inventory,ತಪಶೀಲು ಪಟ್ಟಿ,
Is Active,ಸಕ್ರಿಯವಾಗಿದೆ,
Is Group,ಗ್ರೂಪ್,
Issue,ಸಂಚಿಕೆ,
Issued,ಬಿಡುಗಡೆ,
Item,ವಸ್ತು,
Item Code,ಐಟಂ ಕೋಡ್,
Item Name,ವಸ್ತುವಿನ ಹೆಸರು,
Items,ಐಟಂಗಳನ್ನು,
Key,ಕೀಲಿಕೈ,
Keyboard Shortcuts,ಕೀಬೋರ್ಡ್ ಶಾರ್ಟ್‌ಕಟ್‌ಗಳು,
Lab Technician,ಪ್ರಯೋಗಾಲಯ ತಂತ್ರಜ್ಞ,
