API,API,
Accepted,Приет,
Action,Действие,
Actions,Действия,
Active,Активен,
Actual Cost,Реална цена,
Actual End Date,Действителна Крайна дата,
Actual Start Date,Действителна Начална дата,
All,всичко,
Amended From,Променен от,
Amount,Стойност,
Approved,Одобрен,
Archive,Архив,
Archived,Архивиран,
Assigned To,Възложените,
Attachments,Приложения,
Available,Наличен,
Both,И двете,
Brand,Марка,
Buying Price List,Ценоразпис - Закупуване,
CRM,CRM,
Canceled,Отменен,
Cancelled,Отменен,
Category,Категория,
Category Name,Категория Име,
Check,Проверка,
Client,Клиент,
Close,Затвори,
Closed,Затворен,
Color,Цвят,
Comment,коментар,
Comments,Коментари,
Company,Компания,
Complete,Завършен,
Completed,завършен,
Component,Компонент,
Condition,Състояние,
Contact,Контакт,
Contact Email,Контакт Email,
Contact Phone,Телефон за връзка,
Conversion Rate,Обменен курс,
Create,Създай,
Created On,Създаден на,
Currency,Валута,
Current Status,Текущо състояние,
Custom,Персонализиран,
Customer,клиент,
Customer ID,Клиентски номер,
Customer Name,Име на клиента,
Customer Type,Тип на клиента,
Data,Данни,
Date,Дата,
Default,Неустойка,
Default Item Group,Група елементи по подразбиране,
Default Priority,Приоритет по подразбиране,
Default Value,Стойност по подразбиране,
Defaults,Настройки по подразбиране,
Delayed,Отложен,
Delivered,Доставени,
Depends On,Зависи От,
Description,Описание,
Desk,Бюро,
Discount (%),Отстъпка (%),
Discount Amount,Отстъпка Сума,
Discount Type,Тип отстъпка,
Display,Показ,
Document Name,Документ Име,
Document Type,Вид документ,
Draft,проект,
Due Date,Срок за плащане,
Duration,продължителност,
Email,електронна поща,
Email Address,Имейл адрес,
Error,Грешка,
Estimated Cost,Очаквани разходи,
Expected End Date,Очаквана крайна дата,
Expected Start Date,Очаквана начална дата,
Expired,Изтекъл,
Failed,Не успя,
Field Type,Тип поле,
First Name,Име,
Float,Плаващ,
From Date,От дата,
Full Name,Пълно Име,
Grand Total,Общо,
High,Високо,
Hold,държа,
Hours,Часа,
Idx,Idx,
Images,Снимки,
In Progress,Напред,
In Transit,Транзитно,
Inactive,неактивен,
Inspected By,Инспектирани от,
Inspection Type,Тип Инспекция,
Int,Int,
Inventory,Инвентаризация,
Is Active,Е активен,
Is Group,Е група,
Issue,Изписване,
Issued,Изписан,
Item,Артикул,
Item Code,Код,
Item Name,Име на предмета,
Items,Позиции,
Key,Ключ,
Keyboard Shortcuts,Комбинация от клавиши,
Lab Technician,Лабораторен техник,
Last Active,Последна активност,
Last Name,Фамилия,
Location,Местоположение,
Logs,Журнали,
Lost,загубен,
Low,Нисък,
Maintenance,Поддръжка,
Manufacturer,Производител,
Medium,Среда,
Method,Метод,
Model,Модел,
Modified By,Променено от,
Name,име,
Naming Series,Поредни Номера,
New,нов,
Not permitted,Не е разрешено,
Notes,Бележки,
On Hold,На изчакване,
Open,Отворено,
Operation,Операция,
Other,Друг,
Overdue,просрочен,
Owner,Собственик,
Parameter,Параметър,
Parent Task,Родителска задача,
Passed,Преминали,
Pending,В очакване на,
Pending Review,До Review,
Percent Complete,Процента завършени,
Percentage,Процент,
Phone,Телефон,
Phone Number,Телефонен номер,
Planning,планиране,
Portal,Портал,
Preview,Предварителен преглед,
Primary,Първичен,
Priority,Приоритет,
Progress,Прогрес,
Purchase,покупка,
Purchase Date,Дата на закупуване,
Purchase Order,Поръчка,
Purchase Receipt,Покупка Разписка,
Qty,Количество,
Quantity,количество,
Rate,Ед. Цена,
Rating,оценка,
Reason,Причина,
Received,Получен,
Reference,препратка,
Reference DocType,Референтен DocType,
Reference Doctype,Референтен Doctype,
Reference Name,Референтно име,
Rejected,Отхвърлени,
Related,сроден,
Reload,Презареди,
Remarks,Забележки,
Reopen,Повторно отваряне,
Reset,Нулиране,
Resolve,Разрешете,
Resolved,Решено,
Restore,Възстановяване,
Rounded Total,Общо (закръглено),
SMS,SMS,
Sales,търговски,
Sales Manager,Мениджър Продажби,
Sales User,Продажби - потребител,
Scheduled,Планиран,
Scheduled Date,Предвидена дата,
Section,Раздел,
Selling Price List,Ценова листа за продажба,
Serial No,Сериен Номер,
Session Defaults,Сесия по подразбиране,
Settings,Настройки,
Setup,Настройки,
Shipping,Доставки,
Signature,Подпис,
Signed,подписан,
Signed On,Подписано,
Small Text,Малък Текст,
Sold,продаден,
Source Warehouse,Източник Склад,
Standard,Стандарт,
Start,Начало,
Status,Статус,
Stock Entry,Склад за вписване,
Stock UOM,Склад - мерна единица,
Stop,Спри,
Student,Студент,
Subject,Предмет,
Submit,Изпрати,
Submitted,Изпратено,
Subtotal,Междинна сума,
Suspended,окачен,
System Manager,Мениджър на система,
Target,Цел,
Task,задача,
Task Description,Описание на задачата,
Task Name,Задача Име,
Task Type,Тип задача,
Tasks,Задачи,
Template Name,Име на шаблона,
Terms,Условия,
Text,Текст,
Timeline,Timeline,
Timestamp,Клеймо (таймстемп),
Title,Заглавие,
To Date,Към Дата,
Tools,Инструменти,
Total Cost,Обща Цена,
Totals,Общо,
Type,Тип,
UOM,мерна единица,
Unit,Единица,
Unknown,неизвестен,
Unverified,непроверен,
Urgent,Спешно,
Valid From,Валиден от,
Valid Till,Валиден до,
Valid Upto,Валидно до,
Validation Error,Грешка при проверка,
Value,стойност,
Verification,проверка,
Verified By,Проверени от,
Version,Версия,
View,Изглед,
View Website,Виж Website,
Warehouse,Склад,
Warranty,Гаранция,
Workflow State,Workflow-членка,
Working,работната,
