API,API,
Accepted,aanvaar,
Accounts User,Rekeninge gebruiker,
Action,aksie,
Actions,aksies,
Active,aktiewe,
Actual Cost,Werklike Koste,
Actual End Date,Werklike Einddatum,
Actual Start Date,Werklike Aanvangsdatum,
All,Almal,
Amended From,Gewysig Van,
Amount,bedrag,
Approved,goedgekeur,
Archive,Argief,
Archived,argief,
Assigned To,Toevertrou aan,
Attachments,aanhegsels,
Available,beskikbaar,
Brand,Brand,
Buying Price List,Kooppryslys,
Cancel,kanselleer,
Canceled,gekanselleer,
Cancelled,gekanselleer,
Category,kategorie,
Category Name,Kategorie Naam,
Check,Tjek,
Client,kliënt,
Close,Naby,
Closed,gesluit,
Color,Kleur,
Comment,kommentaar,
Comments,kommentaar,
Company,maatskappy,
Complete,volledige,
Completed,voltooi,
Component,komponent,
Condition,toestand,
Contact,Kontak,
Contact Email,Kontak e-pos,
Contact Phone,Kontak telefoon,
Conversion Rate,Omskakelingskoers,
Created On,Geskep op,
Currency,geldeenheid,
Current Status,Huidige toestand,
Custom,Custom,
Customer,kliënt,
Customer ID,Kliënt ID,
Customer Name,Kliënt naam,
Customer Type,Kliëntipe,
Data,data,
Date,datum,
Default,verstek,
Default Company,Verstek Maatskappy,
Default Item Group,Standaard Itemgroep,
Default Priority,Standaardprioriteit,
Default Source Warehouse,Default Source Warehouse,
Default Value,Standaard waarde,
Defaults,standaard,
Delayed,vertraag,
Delivered,afgelewer,
Depends On,Hang af van,
Description,beskrywing,
Desk,lessenaar,
Discount (%),Afslag (%),
Discount Amount,Korting Bedrag,
Discount Type,Afslagtipe,
Document Name,Dokument Naam,
Document Type,Dokument Type,
Draft,Konsep,
Due Date,Vervaldatum,
Email,EMail,
Email Address,E-pos adres,
Enabled,enabled,
Error,fout,
Estimated Cost,Geskatte koste,
Expected End Date,Verwagte einddatum,
Expected Start Date,Verwagte begin datum,
Expired,verstryk,
Failed,misluk,
Field Type,Veldtipe,
First Name,Eerste naam,
Float,float,
From Date,Vanaf datum,
Full Name,Volle naam,
Grand Total,Groot totaal,
Hidden,verborge,
High,hoë,
Hold,hou,
Hours,Ure,
Idx,Idx,
In List View,In die lys skerm,
In Progress,In Progress,
In Transit,Onderweg,
Inactive,onaktiewe,
Inspected By,Geinspekteer deur,
Inspection Type,Inspeksietipe,
Int,Int,
Inventory,Voorraad,
Is Active,Is aktief,
Is Group,Is die groep,
Issue,Uitgawe,
Issued,Uitgereik,
Item,item,
Item Code,Itemkode,
Item Name,Item naam,
Items,items,
Key,sleutel,
Keyboard Shortcuts,Sleutelbord kortpaaie,
Lab Technician,Lab tegnikus,
Last Active,Laaste Aktief,
Last Name,Van,
Location,plek,
Logs,Logs,
Lost,verloor,
Low,lae,
Maintenance,onderhoud,
Manufacturer,vervaardiger,
Medium,medium,
Method,metode,
Model,model,
Modified By,Gewysig deur,
Name,naam,
Naming Series,Naming Series,
New,nuwe,
Notes,notas,
On Hold,On Hold,
Open,oop,
Operation,operasie,
Other,ander,
Overdue,agterstallige,
Owner,Eienaar,
Parameter,parameter,
Parent Task,Ouertaak,
Passed,Geslaag,
Pending,hangende,
Pending Review,Hangende beoordeling,
Percent Complete,Persent Voltooi,
Percentage,persentasie,
Phone,Foon,
Phone Number,Telefoon nommer,
Planning,Beplanning,
Portal,portaal,
Posting Date,Plasing datum,
Priority,prioriteit,
Progress,vordering,
Purchase,aankoop,
Purchase Date,Aankoop datum,
Purchase Order,Aankoopbestelling,
Purchase Receipt,Aankoop Ontvangst,
Qty,Aantal,
Quantity,hoeveelheid,
Rate,Koers,
Rating,gradering,
Read Only,Lees net,
Reason,rede,
Received,ontvang,
Reference,verwysing,
Reference DocType,Verwysingsdokumenttipe,
Reference Doctype,Verwysingsdokumenttipe,
Reference Name,Verwysingsnaam,
Rejected,verwerp,
Reload,Reload,
Remarks,opmerkings,
Reopen,heropen,
Resolve,Los op,
Resolved,Besleg,
Restore,herstel,
Rounded Total,Afgerond Totaal,
SMS,SMS,
Sales,verkope,
Sales Manager,Verkoopsbestuurder,
Sales User,Verkope gebruiker,
Scheduled,geskeduleer,
Scheduled Date,Geskeduleerde Datum,
Section,Afdeling,
Selling Price List,Verkooppryslys,
Serial No,Serienommer,
Session Defaults,Sessie verstek,
Setup,Stel op,
Shipping,Gestuur,
Signature,Handtekening,
Signed,onderteken,
Signed On,Geteken,
Small Text,Klein teks,
Sold,verkoop,
Source DocType,Bron DocType,
Source Warehouse,Bron pakhuis,
Standard,Standard,
Start,begin,
Status,status,
Stock Entry,Voorraadinskrywing,
Stock UOM,Voorraad UOM,
Student,student,
Subject,Onderwerp,
Submit,Indien,
Submitted,voorgelê,
Subtotal,subtotaal,
Suspended,opgeskort,
System Manager,Stelselbestuurder,
Task,taak,
Task Description,Taakbeskrywing,
Task Name,Taaknaam,
Task Type,Taak tipe,
Tasks,take,
Template Name,Sjabloon Naam,
Terms,terme,
Text,teks,
Timestamp,Tydstempel,
Title,Titel,
To Date,Tot op hede,
Tools,gereedskap,
Total Cost,Totale koste,
Totals,totale,
Type,tipe,
UOM,UOM,
Unit,eenheid,
Unknown,onbekend,
Unverified,geverifieerde,
Urgent,dringende,
Valid From,Geldig vanaf,
Valid Till,Geldig tot,
Valid Upto,Geldig Upto,
Valuation Rate,Waardasietempo,
Value,waarde,
Verification,Verifikasie,
Verified By,Verified By,
Version,weergawe,
View Website,Besigtig webwerf,
Warehouse,Warehouse,
Warranty,waarborg,
Workflow State,Workflow State,
Working,Working,
