API,API,
About,O,
Accepted,Prihvaćeno,
Action,Akcija,
Actions,Akcije,
Activate,Aktiviraj,
Active,Aktivan,
Actual Cost,Stvarni trošak,
Actual End Date,Stvarni datum završetka,
Actual Start Date,Stvarni datum početka,
All,Sve,
Amended From,Izmijenjena Od,
Amount,Iznos,
Apps,Aplikacije,
Archive,Arhiva,
Archived,Arhivirano,
Assigned To,Dodijeljeno,
Attachments,Prilozi,
Available,Dostupno,
Both,Oboje,
Brand,Brend,
Buying Price List,Kupovni cjenovnik,
CRM,CRM,
Canceled,Otkazano,
Cancelled,Otkazano,
Capture,Uhvati,
Category,Kategorija,
Category Name,Naziv kategorije,
Check,Provjeri,
Client,Klijent,
Close,Zatvoriti,
Closed,Zatvoreno,
Color,Boja,
Comment,Komentar,
Comments,Komentari,
Company,Preduzeće,
Complete,Kompletan,
Completed,Dovršen,
Component,Komponenta,
Condition,Stanje,
Contact,Kontakt,
Contact Email,Kontakt email,
Contact Phone,Kontakt telefon,
Conversion Rate,Stopa konverzije,
Create,Stvoriti,
Created On,Kreirano,
Currency,Valuta,
Current Status,Trenutni status,
Custom,Prilagođeno,
Customer,Kupci,
Customer ID,ID kupca,
Customer Name,Naziv kupca,
Customer Type,Tip kupca,
Data,Podaci,
Date,Datum,
Default,Podrazumjevano,
Default Item Group,Zadana grupa proizvoda,
Default Priority,Default Priority,
Default Value,Zadana vrijednost,
Defaults,Zadani,
Delayed,Odgođeno,
Delivered,Isporučeno,
Depends On,Zavisi od,
Description,Opis,
Discount (%),Popust (%),
Discount Amount,Iznos rabata,
Discount Type,Tip popusta,
Display,Prikaz,
Document Name,Dokument Ime,
Document Type,Tip dokumenta,
Documentation,Dokumentacija,
Draft,Draft,
Due Date,Datum dospijeća,
Duration,Trajanje,
Email,Email,
Email Address,E-mail adresa,
Error,Pogreška,
Estimated Cost,Procijenjeni troškovi,
Excellent,Odlično,
Expected End Date,Očekivani Datum završetka,
Expected Start Date,Očekivani datum početka,
Expired,Istekla,
Failed,Nije uspio,
Field Type,Vrsta polja,
First Name,Ime,
Float,Plutajući,
Frappe Support,Frappe podrška,
From Date,Od datuma,
Full Name,Ime i prezime,
Grand Total,Ukupno za platiti,
High,Visok,
Hold,Zadrži,
Hours,Hours,
Idx,Idx,
Images,Slike,
In Progress,U toku,
In Transit,U prolazu,
Inactive,Neaktivan,
Inspected By,Provjereno od strane,
Inspection Type,Inspekcija Tip,
Int,Int,
Inventory,Inventar,
Is Active,Je aktivan,
Is Group,Is Group,
Issue,Tiketi,
Issued,Izdao,
Item,Artikl,
Item Code,Šifra artikla,
Item Name,Naziv predmeta,
Item {0} does not exist.,Artikal {0} ne postoji.,
Items,Artikli,
Key,Ključ,
Keyboard Shortcuts,Prečice na tastaturi,
Lab Technician,Laboratorijski tehničar,
Last Active,Zadnje aktivno,
Last Name,Prezime,
Location,Lokacija,
Log out,Odjava,
Logs,Dnevnici,
Lost,Izgubljen,
Low,Nizak,
Maintenance,Održavanje,
Manufacturer,Proizvođač,
Medium,Srednji,
Meta,Meta,
Method,Način,
Model,Model,
Modified By,Izmijenio,
My Profile,Moj profil,
My Settings,Moje postavke,
Name,Ime,
Naming Series,Imenovanje serije,
New,Novo,
Not permitted,Nije dozvoljeno,
Notes,Bilješke,
OK,OK,
On Hold,Na čekanju,
Open,Otvoreno,
Operation,Operacija,
Other,Drugi,
Overdue,Istekao,
Overview,Pregled,
Owner,vlasnik,
