API,এপিআই,
Accepted,গৃহীত,
Accounts User,ব্যবহারকারীর অ্যাকাউন্ট,
Action,কর্ম,
Actions,পদক্ষেপ,
Active,সক্রিয়,
Actual Cost,প্রকৃত দাম,
Actual End Date,প্রকৃত শেষ তারিখ,
Actual Start Date,প্রকৃত আরম্ভের তারিখ,
All,সব,
Amended From,সংশোধিত,
Amount,পরিমাণ,
Approved,অনুমোদিত,
Archive,সংরক্ষাণাগার,
Archived,আর্কাইভ করা,
Assigned To,নিযুক্ত করা,
Attachments,সংযুক্তি,
Available,উপলভ্য,
Brand,ব্র্যান্ড,
Buying Price List,মূল্য তালিকা কেনা,
Cancel,বাতিল,
Canceled,বাতিল করা হয়েছে,
Cancelled,বাতিল,
Category,শ্রেণী,
Category Name,নামের তালিকা,
Check,চেক,
Client,ক্লায়েন্ট,
Close,ঘনিষ্ঠ,
Closed,বন্ধ,
Color,রঙ,
Comment,মন্তব্য,
Comments,মন্তব্য,
Company,কোম্পানি,
Complete,সম্পূর্ণ,
Completed,সম্পন্ন,
Component,উপাদান,
Condition,শর্ত,
Contact,যোগাযোগ,
Contact Email,যোগাযোগের ই - মেইল,
Contact Phone,ফোনে যোগাযোগ,
Conversion Rate,রূপান্তর হার,
Created On,তৈরি,
Currency,মুদ্রা,
Current Status,এখনকার অবস্থা,
Custom,প্রথা,
Customer,ক্রেতা,
Customer ID,গ্রাহক আইডি,
Customer Name,ক্রেতার নাম,
Customer Type,ব্যবহারকারীর ধরন,
Data,উপাত্ত,
Date,তারিখ,
Default,ডিফল্ট,
Default Company,ডিফল্ট কোম্পানি,
Default Item Group,ডিফল্ট আইটেম গ্রুপ,
Default Priority,ডিফল্ট অগ্রাধিকার,
Default Source Warehouse,ডিফল্ট সোর্স ওয়্যারহাউস,
Default Value,ডিফল্ট মান,
Defaults,ডিফল্ট,
Delayed,বিলম্বিত,
Delivered,নিষ্কৃত,
Depends On,নির্ভর করে,
Description,বিবরণ,
Desk,ডেস্ক,
Discount (%),ছাড় (%),
Discount Amount,হ্রাসকৃত মুল্য,
Discount Type,ছাড়ের ধরণ,
Document Name,ডকুমেন্ট নাম,
Document Type,নথিপত্র ধরণ,
Draft,খসড়া,
Due Date,নির্দিষ্ট তারিখ,
Email,EMail,
Email Address,ইমেল ঠিকানা,
Enabled,সক্রিয়,
Error,ভুল,
Estimated Cost,আনুমানিক খরচ,
Expected End Date,সমাপ্তি প্রত্যাশিত তারিখ,
Expected Start Date,প্রত্যাশিত স্টার্ট তারিখ,
Expired,মেয়াদউত্তীর্ণ,
Failed,ব্যর্থ,
Field Type,ক্ষেত্র প্রকার,
First Name,প্রথম নাম,
Float,ভাসা,
From Date,তারিখ থেকে,
Full Name,পুরো নাম,
Grand Total,সর্বমোট,
Hidden,গোপন,
High,উচ্চ,
Hold,রাখা,
Hours,ঘন্টার,
Idx,Idx,
In List View,তালিকা দেখুন,
In Progress,চলমান,
In Transit,ট্রানজিটে,
Inactive,নিষ্ক্রিয়,
Inspected By,পরিদর্শন,
Inspection Type,ইন্সপেকশন ধরন,
Int,Int,
Inventory,জায়,
Is Active,সক্রিয়,
Is Group,দলটির,
Issue,ইস্যু,
Issued,জারি,
Item,আইটেম,
Item Code,পণ্য সংকেত,
Item Name,আইটেম নাম,
Items,চলছে,
Key,চাবি,
Keyboard Shortcuts,কীবোর্ড শর্টকাটগুলি,
Lab Technician,ল্যাব কারিগর,
Last Active,সক্রিয় সর্বশেষ,
Last Name,নামের শেষাংশ,
Location,অবস্থান,
Logs,লগ,
Lost,নষ্ট,
Low,কম,
Maintenance,রক্ষণাবেক্ষণ,
Manufacturer,উত্পাদক,
Medium,মাঝারি,
Method,পদ্ধতি,
Model,মডেল,
Modified By,রুপান্তরিত,
Name,নাম,
Naming Series,নামকরণ সিরিজ,
New,নতুন,
Notes,নোট,
On Hold,স্হগিত,
Open,খোলা,
Operation,অপারেশন,
Other,অন্যান্য,
Overdue,পরিশোধসময়াতীত,
Owner,মালিক,
Parameter,স্থিতিমাপ,
Parent Task,বাবা টাস্ক,
Passed,পাস করেছেন,
Pending,বিচারাধীন,
Pending Review,মুলতুবি পর্যালোচনা,
Percent Complete,শতাংশ সম্পূর্ণ,
Percentage,শতকরা হার,
Phone,ফোন,
Phone Number,ফোন নম্বর,
Planning,পরিকল্পনা,
Portal,পোর্টাল,
Posting Date,পোস্টিং তারিখ,
Priority,অগ্রাধিকার,
Progress,উন্নতি,
Purchase,ক্রয়,
Purchase Date,ক্রয় তারিখ,
Purchase Order,ক্রয় আদেশ,
Purchase Receipt,কেনার রশিদ,
Qty,Qty,
Quantity,পরিমাণ,
Rate,হার,
Rating,নির্ধারণ,
Read Only,শুধুমাত্র পঠনযোগ্য,
Reason,কারণ,
Received,গৃহীত,
Reference,উল্লেখ,
Reference DocType,রেফারেন্স ডকটাইপ,
Reference Doctype,রেফারেন্স DOCTYPE,
Reference Name,রেফারেন্স নাম,
Rejected,প্রত্যাখ্যাত,
Reload,পুনরায় লোড করুন,
Remarks,মন্তব্য,
Reopen,পুনরায় খোলা,
Resolve,সমাধান করুন,
Resolved,সমাধান হয়েছে,
Restore,প্রত্যর্পণ করা,
Rounded Total,গোলাকৃতি মোট,
SMS,খুদেবার্তা,
Sales,সেলস,
Sales Manager,বিক্রয় ব্যবস্থাপক,
Sales User,সেলস ব্যবহারকারী,
Scheduled,তালিকাভুক্ত,
Scheduled Date,নির্ধারিত তারিখ,
Section,অধ্যায়,
Selling Price List,মূল্য তালিকা বিক্রি,
Serial No,ক্রমিক নং,
Session Defaults,সেশন ডিফল্ট,
Setup,সেটআপ,
Shipping,পরিবহন,
Signature,স্বাক্ষর,
Signed,সাইন ইন,
Signed On,স্বাক্ষরিত,
Small Text,ছোট লেখা,
Sold,বিক্রীত,
Source DocType,উত্স ডক টাইপ,
Source Warehouse,উত্স ওয়্যারহাউস,
Standard,মান,
Start,শুরু,
Status,অবস্থা,
Stock Entry,শেয়ার এণ্ট্রি,
Stock UOM,শেয়ার UOM,
Student,ছাত্র,
Subject,বিষয়,
Submit,জমা দিন,
Submitted,উপস্থাপিত,
Subtotal,উপমোট,
Suspended,স্থগিত,
System Manager,সিস্টেম ম্যানেজার,
Task,কার্য,
Task Description,কার্য বিবরণী,
Task Name,টাস্ক নাম,
Task Type,টাস্ক টাইপ,
Tasks,কার্য,
Template Name,টেম্পলেট নাম,
Terms,শর্তাবলী,
Text,পাঠ,
Timestamp,টাইমস্ট্যাম্প,
Title,খেতাব,
To Date,এখন পর্যন্ত,
Tools,সরঞ্জাম,
Total Cost,মোট খরচ,
Totals,সমগ্র,
Type,শ্রেণী,
UOM,UOM,
Unit,একক,
Unknown,অজানা,
Unverified,অযাচাইকৃত,
Urgent,জরুরী,
Valid From,বৈধ হবে,
Valid Till,বৈধ পর্যন্ত,
Valid Upto,বৈধ পর্যন্ত,
Valuation Rate,মূল্যনির্ধারণ হার,
Value,মান,
Verification,প্রতিপাদন,
Verified By,কর্তৃক যাচাইকৃত,
Version,সংস্করণ,
View Website,ওয়েবসাইট দেখুন,
Warehouse,গুদাম,
Warranty,পাটা,
Workflow State,কর্মপ্রবাহ রাজ্য,
Working,ওয়ার্কিং,
