API,API,
Accepted,qebûlkirin,
Action,Çalakî,
Actions,Actions,
Active,Jîr,
Actual Cost,Mesrefa rastîn,
Actual End Date,Rastî Date End,
Actual Start Date,Date Serî rastî,
All,Gişt,
Amended From,de guherîn From,
Amount,Biha,
Approved,pejirandin,
Archive,Archive,
Archived,arşîvkirin,
Assigned To,rêdan û To,
Attachments,Attachments,
Available,Berdeste,
Both,Herdû,
Brand,Şanika şewatê,
Buying Price List,Lîsteya bihayê bihêlin,
CRM,CRM,
Canceled,Qedandin,
Cancelled,CANCELED,
Category,Liq,
Category Name,Category Name,
Check,Berçavkirinî,
Client,Kirrîxwaz,
Close,Nêzîkî,
Closed,Girtî,
Color,Reng,
Comment,Agahkişîn,
Comments,Comments,
Company,Şîrket,
Complete,Tevî,
Completed,Qediya,
Component,Perçe,
Condition,Rewş,
Contact,Têkelî,
Contact Email,Contact Email,
Contact Phone,Têkiliya Telefonê,
Conversion Rate,converter,
Create,Xûliqandin,
Created On,tên ser,
Currency,Diravcins,
Current Status,rewşa niha,
Custom,Hûnbunî,
Customer,Miştirî,
Customer ID,Nasnameya Xerîdar,
Customer Name,Navê mişterî,
Customer Type,Type Type,
Data,Jimare,
Date,Rojek,
Default,Destçûnî,
Default Item Group,Default babetî Pula,
Default Priority,Pêşeroja Pêşeng,
Default Value,Nirx Default,
Defaults,Têrbûn,
Delayed,bi derengî,
Delivered,teslîmî,
Depends On,Dimîne li ser,
Description,Terîf,
Desk,Meza nivîsê,
Discount (%),Tenzîlat (%),
Discount Amount,Şêwaz discount,
Discount Type,Tîpa Discount,
Display,Pêşkêşî,
Document Name,Name belgeya,
Document Type,Corî dokumênt,
Draft,Draft,
Due Date,Serdem,
Duration,Demajok,
Email,Email,
Email Address,Navnîşana emailê,
Error,Şaşî,
Estimated Cost,Cost texmînkirin,
Expected End Date,Hêvîkirin Date End,
Expected Start Date,Hêvîkirin Date Start,
Expired,kapê de,
Failed,bi ser neket,
Field Type,Type Field,
First Name,Nav,
Float,Avbazîn,
From Date,ji Date,
Full Name,Navê tam,
Grand Total,ÃƒÆ Bi tevahî,
High,Bilind,
Hold,Rawestan,
Hours,Saet,
Idx,IDX,
Images,images,
In Progress,Ez teslîm nabim,
In Transit,Di Transit,
Inactive,Bêkar,
Inspected By,teftîş kirin By,
Inspection Type,Type Serperiştiya,
Int,Int,
Inventory,Inventory,
Is Active,çalak e,
Is Group,Is Group,
Issue,Pirs,
Issued,weşand,
Item,Şanî,
Item Code,Code babetî,
Item Name,Navê Navekî,
Items,Nawy,
Key,Qûfle,
Keyboard Shortcuts,Kurtikên Pêl,
Lab Technician,Teknîkî Lab,
Last Active,Têketina dawî,
Last Name,Paşnav,
Location,Cîh,
Logs,têketin,
Lost,Windabû,
Low,Nizm,
Maintenance,Lênerrînî,
Manufacturer,Çêker,
Medium,Medya,
Method,Awa,
Model,Cins,
Modified By,de hate By,
Name,Nav,
Naming Series,Series Bidin,
New,Nşh,
Not permitted,Nayê destûrkirin,
Notes,Notes,
On Hold,Li Hold,
Open,Vekirî,
Operation,Emelî,
Other,Yên din,
Overdue,Demhatî,
Owner,Xwedî,
Parameter,parametreyê,
Parent Task,Task Parêz,
Passed,Derbas bû,
Pending,Nexelas,
Pending Review,hîn Review,
Percent Complete,Perî Têr,
Percentage,Rêza sedikê,
Phone,Phone,
Phone Number,Jimare telefon,
Planning,Pîlankirinî,
Portal,Portal,
Preview,Pêşnerîn,
Primary,Bingehîn,
Priority,Pêşeyî,
Progress,Pêşverûtî,
Purchase,Kirrîn,
Purchase Date,Date kirîn,
Purchase Order,Buy Order,
Purchase Receipt,Meqbûz kirîn,
Qty,Qty,
Quantity,Jimarî,
Rate,Qûrs,
Rating,Rating,
Reason,Semed,
Received,"stand,",
Reference,Balkêşî,
Reference DocType,DocType Reference,
Reference Doctype,Doctype Reference,
Reference Name,Navê Referansê,
Rejected,red,
Related,Related,
Reload,Rûpelê,
Remarks,têbînî,
